Rk,G,Date,Age,Tm,?,Opp,?,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,2017-10-18,28-352,MIN,@,SAS,L (-8),Did Not Play
2,2017-10-20,28-354,MIN,UTA,W (+3),Did Not Play
3,2017-10-22,28-356,MIN,@,OKC,W (+2),Did Not Play
4,1,2017-10-24,28-358,MIN,IND,L (-23),0,4:39,0,1,.000,0,0,0,0,0,0,0,1,1,0,0,1,0,0.6,-5
5,2,2017-10-25,28-359,MIN,@,DET,L (-21),0,2:02,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,-3
6,2017-10-27,28-361,MIN,OKC,W (+3),Did Not Play
7,2017-10-30,28-364,MIN,@,MIA,W (+3),Did Not Play
8,2017-11-01,29-001,MIN,@,NOP,W (+6),Did Not Play
9,3,2017-11-04,29-004,MIN,DAL,W (+13),0,1:41,0,0,0,0,1,2,.500,0,1,1,0,0,0,0,0,1,0.9,-1
10,4,2017-11-05,29-005,MIN,CHO,W (+18),0,0:42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4,0
11,2017-11-08,29-008,MIN,@,GSW,L (-24),Did Not Play
12,2017-11-11,29-011,MIN,@,PHO,L (-8),Did Not Play
13,2017-11-13,29-013,MIN,@,UTA,W (+11),Did Not Play
14,2017-11-15,29-015,MIN,SAS,W (+12),Did Not Play
15,2017-11-17,29-017,MIN,@,DAL,W (+24),Did Not Play
16,2017-11-19,29-019,MIN,DET,L (-3),Did Not Play
17,5,2017-11-20,29-020,MIN,@,CHO,L (-16),0,1:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,+1
18,2017-11-22,29-022,MIN,ORL,W (+6),Did Not Play
19,2017-11-24,29-024,MIN,MIA,L (-12),Did Not Play
20,2017-11-26,29-026,MIN,PHO,W (+11),Did Not Play
,Rk,,G,,Date,,Age,,Tm,, ,,Opp,, ,,GS,,MP,,FG,,FGA,,FG%,,3P,,3PA,,3P%,,FT,,FTA,,FT%,,ORB,,DRB,,TRB,,AST,,STL,,BLK,,TOV,,PF,,PTS,,GmSc,,+/-,
21,2017-11-28,29-028,MIN,WAS,L (-3),Did Not Play
22,2017-11-29,29-029,MIN,@,NOP,W (+18),Did Not Play
23,2017-12-01,29-031,MIN,@,OKC,L (-4),Did Not Play
24,2017-12-03,29-033,MIN,LAC,W (+6),Did Not Play
25,2017-12-04,29-034,MIN,@,MEM,L (-3),Did Not Play
26,2017-12-06,29-036,MIN,@,LAC,W (+6),Did Not Play
27,2017-12-10,29-040,MIN,DAL,W (+5),Did Not Play
28,2017-12-12,29-042,MIN,PHI,L (-6),Did Not Play
29,6,2017-12-14,29-044,MIN,SAC,W (+23),0,2:41,1,1,1.000,0,0,0,0,0,0,0,0,1,0,0,0,2,2.7,+4
30,2017-12-16,29-046,MIN,PHO,L (-2),Did Not Play
31,2017-12-18,29-048,MIN,POR,W (+1),Did Not Play
32,2017-12-20,29-050,MIN,@,DEN,W (+8),Did Not Play
33,2017-12-23,29-053,MIN,@,PHO,W (+9),Did Not Play
34,2017-12-25,29-055,MIN,@,LAL,W (+17),Did Not Play
35,2017-12-27,29-057,MIN,DEN,W (+3),Did Not Play
36,2017-12-28,29-058,MIN,@,MIL,L (-6),Did Not Play
37,7,2017-12-31,29-061,MIN,@,IND,W (+17),0,3:08,1,2,.500,0,0,0,0,2,0,2,0,0,0,1,1,2,1.0,-7
38,8,2018-01-01,29-062,MIN,LAL,W (+18),0,2:18,0,1,.000,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.4,-1
39,2018-01-03,29-064,MIN,@,BRK,L (-1),Did Not Play
40,2018-01-05,29-066,MIN,@,BOS,L (-7),Did Not Play
,Rk,,G,,Date,,Age,,Tm,, ,,Opp,, ,,GS,,MP,,FG,,FGA,,FG%,,3P,,3PA,,3P%,,FT,,FTA,,FT%,,ORB,,DRB,,TRB,,AST,,STL,,BLK,,TOV,,PF,,PTS,,GmSc,,+/-,
41,9,2018-01-06,29-067,MIN,NOP,W (+18),0,1:45,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,1,2,1.3,-2
42,2018-01-08,29-069,MIN,CLE,W (+28),Did Not Play
43,10,2018-01-10,29-071,MIN,OKC,W (+16),0,1:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
44,2018-01-12,29-073,MIN,NYK,W (+10),Did Not Play
45,2018-01-14,29-075,MIN,POR,W (+17),Did Not Play
46,2018-01-16,29-077,MIN,@,ORL,L (-6),Did Not Play
47,2018-01-18,29-079,MIN,@,HOU,L (-18),Did Not Play
48,2018-01-20,29-081,MIN,TOR,W (+6),Did Not Play
49,2018-01-22,29-083,MIN,@,LAC,W (+8),Did Not Play
50,11,2018-01-24,29-085,MIN,@,POR,L (-9),0,3:38,0,0,0,0,1,2,.500,0,2,2,0,0,0,0,0,1,1.2,+10
51,2018-01-25,29-086,MIN,@,GSW,L (-13),Did Not Play
52,2018-01-27,29-088,MIN,BRK,W (+14),Did Not Play
53,2018-01-29,29-090,MIN,@,ATL,L (-5),Did Not Play
54,2018-01-30,29-091,MIN,@,TOR,L (-5),Did Not Play
55,12,2018-02-01,29-093,MIN,MIL,W (+19),0,2:39,0,2,.000,0,0,0,0,1,0,1,0,0,1,0,2,0,-0.8,-5
56,2018-02-03,29-095,MIN,NOP,W (+11),Did Not Play
57,2018-02-07,29-099,MIN,@,CLE,L (-2),Did Not Play
58,2018-02-09,29-101,MIN,@,CHI,L (-1),Did Not Play
59,2018-02-11,29-103,MIN,SAC,W (+5),Did Not Play
60,13,2018-02-13,29-105,MIN,HOU,L (-18),0,0:42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4,-2
,Rk,,G,,Date,,Age,,Tm,, ,,Opp,, ,,GS,,MP,,FG,,FGA,,FG%,,3P,,3PA,,3P%,,FT,,FTA,,FT%,,ORB,,DRB,,TRB,,AST,,STL,,BLK,,TOV,,PF,,PTS,,GmSc,,+/-,
61,2018-02-15,29-107,MIN,LAL,W (+8),Did Not Play
62,2018-02-23,29-115,MIN,@,HOU,L (-18),Did Not Play
63,14,2018-02-24,29-116,MIN,CHI,W (+18),0,1:12,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,-4
64,15,2018-02-26,29-118,MIN,@,SAC,W (+18),0,1:16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,-2
65,2018-03-01,29-121,MIN,@,POR,L (-9),Did Not Play
66,2018-03-02,29-122,MIN,@,UTA,L (-8),Did Not Play
67,2018-03-08,29-128,MIN,BOS,L (-8),Did Not Play
