Rk,G,Date,Age,Tm,?,Opp,?,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,2017-10-18,29-207,DEN,@,UTA,L (-10),Did Not Play
2,2017-10-21,29-210,DEN,SAC,W (+17),Did Not Play
3,2017-10-23,29-212,DEN,WAS,L (-5),Did Not Play
4,2017-10-25,29-214,DEN,@,CHO,L (-17),Did Not Play
5,2017-10-27,29-216,DEN,@,ATL,W (+5),Did Not Play
6,2017-10-29,29-218,DEN,@,BRK,W (+13),Did Not Play
7,1,2017-10-30,29-219,DEN,@,NYK,L (-6),0,11:45,0,2,.000,0,2,.000,0,0,0,1,1,0,1,0,1,0,0,-1.1,-6
8,2017-11-01,29-221,DEN,TOR,W (+18),Did Not Play
9,2017-11-03,29-223,DEN,MIA,W (+1),Did Not Play
10,2,2017-11-04,29-224,DEN,GSW,L (-19),0,7:23,1,4,.250,0,2,.000,0,0,1,1,2,1,0,0,0,2,2,0.5,+4
11,2017-11-07,29-227,DEN,BRK,W (+8),Did Not Play
12,2017-11-09,29-229,DEN,OKC,W (+8),Did Not Play
13,2017-11-11,29-231,DEN,ORL,W (+18),Did Not Play
14,2017-11-13,29-233,DEN,@,POR,L (-17),Did Not Play
15,2017-11-17,29-237,DEN,NOP,W (+32),Did Not Play
16,2017-11-19,29-239,DEN,@,LAL,L (-18),Did Not Play
17,2017-11-20,29-240,DEN,@,SAC,W (+16),Did Not Play
18,2017-11-22,29-242,DEN,@,HOU,L (-30),Did Not Play
19,2017-11-24,29-244,DEN,MEM,W (+12),Did Not Play
20,2017-11-28,29-248,DEN,@,UTA,L (-29),Did Not Play
,Rk,,G,,Date,,Age,,Tm,, ,,Opp,, ,,GS,,MP,,FG,,FGA,,FG%,,3P,,3PA,,3P%,,FT,,FTA,,FT%,,ORB,,DRB,,TRB,,AST,,STL,,BLK,,TOV,,PF,,PTS,,GmSc,,+/-,
21,2017-11-30,29-250,DEN,CHI,W (+1),Did Not Play
22,3,2017-12-02,29-252,DEN,LAL,W (+15),0,4:35,0,1,.000,0,0,0,0,0,0,0,0,0,0,1,2,0,-2.5,-6
23,2017-12-04,29-254,DEN,@,DAL,L (-17),Did Not Play
24,2017-12-06,29-256,DEN,@,NOP,L (-9),Did Not Play
25,2017-12-08,29-258,DEN,@,ORL,W (+14),Did Not Play
26,2017-12-10,29-260,DEN,@,IND,L (-10),Did Not Play
27,4,2017-12-12,29-262,DEN,@,DET,W (+19),0,14:45,2,6,.333,1,5,.200,0,0,0,2,2,0,1,0,5,2,5,-2.6,-13
28,2017-12-13,29-263,DEN,@,BOS,L (-6),Did Not Play
29,2017-12-15,29-265,DEN,NOP,W (+6),Did Not Play
30,2017-12-18,29-268,DEN,@,OKC,L (-1),Did Not Play
31,2017-12-20,29-270,DEN,MIN,L (-8),Did Not Play
32,2017-12-22,29-272,DEN,@,POR,W (+17),Did Not Play
33,2017-12-23,29-273,DEN,@,GSW,W (+15),Did Not Play
34,2017-12-26,29-276,DEN,UTA,W (+24),Did Not Play
35,5,2017-12-27,29-277,DEN,@,MIN,L (-3),0,4:58,0,1,.000,0,0,0,0,0,1,1,0,0,0,0,1,0,-0.8,-5
36,2017-12-30,29-280,DEN,PHI,L (-5),Did Not Play
37,2018-01-03,29-284,DEN,PHO,W (+23),Did Not Play
38,2018-01-05,29-286,DEN,UTA,W (+8),Did Not Play
39,2018-01-06,29-287,DEN,@,SAC,L (-8),Did Not Play
40,2018-01-08,29-289,DEN,@,GSW,L (-10),Did Not Play
,Rk,,G,,Date,,Age,,Tm,, ,,Opp,, ,,GS,,MP,,FG,,FGA,,FG%,,3P,,3PA,,3P%,,FT,,FTA,,FT%,,ORB,,DRB,,TRB,,AST,,STL,,BLK,,TOV,,PF,,PTS,,GmSc,,+/-,
41,2018-01-10,29-291,DEN,ATL,L (-13),Did Not Play
42,2018-01-12,29-293,DEN,MEM,W (+9),Did Not Play
43,6,2018-01-13,29-294,DEN,@,SAS,L (-32),0,5:18,0,2,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4,-5
44,2018-01-16,29-297,DEN,DAL,W (+3),Did Not Play
45,2018-01-17,29-298,DEN,@,LAC,L (-5),Did Not Play
46,2018-01-19,29-300,DEN,PHO,L (-8),Did Not Play
47,2018-01-22,29-303,DEN,POR,W (+3),Did Not Play
48,7,2018-01-25,29-306,DEN,NYK,W (+12),0,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1
49,2018-01-27,29-308,DEN,DAL,W (+2),Did Not Play
50,2018-01-29,29-310,DEN,BOS,L (-1),Did Not Play
51,8,2018-01-30,29-311,DEN,@,SAS,L (-2),1,19:08,4,6,.667,1,2,.500,1,1,1.000,0,3,3,2,1,1,1,1,10,10.0,+6
52,9,2018-02-01,29-313,DEN,OKC,W (+3),0,1:00,0,1,.000,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.4,0
53,10,2018-02-03,29-315,DEN,GSW,W (+7),0,14:16,2,6,.333,1,3,.333,0,0,1,0,1,3,0,0,3,1,5,1.0,+8
54,11,2018-02-05,29-317,DEN,CHO,W (+17),0,13:44,4,5,.800,2,3,.667,0,0,0,1,1,1,2,0,1,3,10,8.9,0
55,12,2018-02-09,29-321,DEN,@,HOU,L (-26),0,6:33,2,2,1.000,0,0,0,0,0,0,0,0,0,0,0,1,4,3.0,-1
56,13,2018-02-10,29-322,DEN,@,PHO,W (+10),0,6:52,3,3,1.000,0,0,1,2,.500,0,2,2,0,1,0,1,3,7,5.1,-4
57,14,2018-02-13,29-325,DEN,SAS,W (+8),0,6:08,2,2,1.000,1,1,1.000,0,0,0,0,0,0,1,0,2,3,5,2.2,-8
58,15,2018-02-15,29-327,DEN,@,MIL,W (+11),0,11:53,0,1,.000,0,1,.000,0,0,1,0,1,2,1,1,0,1,0,2.7,+5
59,2018-02-23,29-335,DEN,SAS,W (+3),Did Not Play
60,2018-02-25,29-337,DEN,HOU,L (-5),Did Not Play
,Rk,,G,,Date,,Age,,Tm,, ,,Opp,, ,,GS,,MP,,FG,,FGA,,FG%,,3P,,3PA,,3P%,,FT,,FTA,,FT%,,ORB,,DRB,,TRB,,AST,,STL,,BLK,,TOV,,PF,,PTS,,GmSc,,+/-,
61,2018-02-27,29-339,DEN,LAC,L (-2),Did Not Play
62,16,2018-03-02,29-342,DEN,@,MEM,W (+6),0,0:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
63,2018-03-03,29-343,DEN,@,CLE,W (+9),Did Not Play
64,2018-03-06,29-346,DEN,@,DAL,L (-11),Did Not Play
65,2018-03-07,29-347,DEN,CLE,L (-5),Did Not Play
66,2018-03-09,29-349,DEN,LAL,W (+9),Did Not Play
67,17,2018-03-11,29-351,DEN,SAC,W (+26),0,3:57,1,3,.333,1,2,.500,0,0,0,0,0,0,0,0,0,0,3,1.3,-2
68,18,2018-03-13,29-353,DEN,@,LAL,L (-9),0,0:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2
69,2018-03-15,29-355,DEN,DET,W (+7),Did Not Play
70,2018-03-17,29-357,DEN,@,MEM,L (-7),Did Not Play
71,2018-03-19,29-359,DEN,@,MIA,L (-8),Did Not Play
72,19,2018-03-21,29-361,DEN,@,CHI,W (+33),0,7:22,1,2,.500,1,2,.500,0,0,0,0,0,0,0,1,0,2,3,1.9,-3
73,2018-03-23,29-363,DEN,@,WAS,W (+8),Did Not Play
74,2018-03-26,30-001,DEN,@,PHI,L (-19),Did Not Play
75,2018-03-27,30-002,DEN,@,TOR,L (-4),Did Not Play
76,2018-03-30,30-005,DEN,@,OKC,W (+1),Did Not Play
77,2018-04-01,30-007,DEN,MIL,W (+3),Did Not Play
78,2018-04-03,30-009,DEN,IND,W (+3),Did Not Play
79,2018-04-05,30-011,DEN,MIN,W (+4),Did Not Play
80,2018-04-07,30-013,DEN,@,LAC,W (+19),Did Not Play
